video_id;Comment;Type
barbara_gambatesa1;made in italy;none
barbara_gambatesa1;Povera Italia;denigration
barbara_gambatesa1;tiene algun problema en la columna;denigration
barbara_gambatesa1;Piu che Barbara gambatesa mi sembra Piu paccatosta;sexual
barbara_gambatesa1;sta a pecor alert kest;sexual
barbara_gambatesa1;ma ancora esistono i dinosauri? ????;denigration
barbara_gambatesa1;Everyone's gathered to look at an OBVIOSLY fake butt?;sexual
barbara_gambatesa1;M(ASS)terpiece;sexual
barbara_gambatesa1;Incredibutt!;sexual
barbara_gambatesa1;ma è una esposizione CULInaria??;sexual
barbara_gambatesa1;orde di gente da tutto il mondo ad osservare il miracolo sotto la tua schiena;sexual
barbara_gambatesa1;Vorrei aderire a quel retro e andare all in;sexual
barbara_gambatesa1;ma tutte foto del suo fondoschiena??????;sexual
barbara_gambatesa1;pare che c'è la solo lei;denigration
barbara_gambatesa1;un tappo;denigration
barbara_gambatesa1;è che è ????;none
barbara_gambatesa1;CONVINTA;denigration
barbara_gambatesa1;Importante è il dietro ma la testa??;denigration
barbara_gambatesa1;ma ti rendi conto di essere ridicola o no?;flaming
barbara_gambatesa1;e guarda caso proprio lei a pescato per fare sta cosa;denigration
barbara_gambatesa1;tutt'appost?;denigration
barbara_gambatesa1;OGNIUNO MOSTRA QUEL CHE HA;denigration
barbara_gambatesa1;e cosé un attrazione turistica hahha mahhh;denigration
barbara_gambatesa1;Certo che stiamo messi proprio bene!!!;denigration
barbara_gambatesa1;Seriamente?? Bhaaa;denigration
barbara_gambatesa1;io veramente boh ??;denigration
barbara_gambatesa1;Par a sor ra fess;flaming
barbara_gambatesa1;ma chi ti conosce;flaming
barbara_gambatesa1;siamo al ridicolo ??;denigration
barbara_gambatesa1;ma chi è ??;denigration
barbara_gambatesa1;Cos'è sta roba?;denigration
barbara_gambatesa1;Ne va pure fiera hhahhhh;denigration
barbara_gambatesa1;Ma chi e sta sceeeemmmm;flaming
barbara_gambatesa1;e quindi? non stai lavando i piatti male;sexual
barbara_gambatesa1;Finché qualcuno la segue….;denigration
barbara_gambatesa1;ma nella vita cosa fai ?? lavori ?;denigration
barbara_gambatesa1;c'è da spiegare che in Italia i fenomeni falliscono,e facciamo diventare star a persone che non sanno fare nulla;denigration
barbara_gambatesa1;Ma famosa per?? Mi so persa… qua veramente stiamo affondando.;denigration
barbara_gambatesa1;DAI VAI A PAGARE LE PIZZE PEZZENTE INVECE DI SCROCCARE ZINGARA;racism
barbara_gambatesa1;No pizza gratis, no party ??;denigration
barbara_gambatesa1;PAV 'A PIZZ;denigration
barbara_gambatesa1;Fare finta che quella gente è lì per te TE, quando sono tutti li per quel ragazzo che fa gli spettacoli, sei ridicola ??????????????;denigration
barbara_gambatesa1;Non sei nessuno cosa sai fare illuminaci;denigration
barbara_gambatesa1;hai pagato per stare nel cerchio o ti sei fatta pagare???;denigration
barbara_gambatesa1;Ma la pizza?;denigration
barbara_gambatesa1;Niceee;none
barbara_gambatesa1;This girl always needs to be the center of attention ??;denigration
barbara_gambatesa1;Excelente mujer??;none
barbara_gambatesa1;???????;none
barbara_gambatesa1;??;none
barbara_gambatesa1;and all that people are there gathered why?;none
barbara_gambatesa1;??;none
barbara_gambatesa1;that same day 100 wifes filed for divorce;sexual
barbara_gambatesa1;que tal milano;none
barbara_gambatesa1;@GLOBAL PUBLIC JURY ?? ?? ??;none
barbara_gambatesa1;??;none
barbara_gambatesa1;??;none
barbara_gambatesa1;FOLLOW ME ??;none
barbara_gambatesa1;I don’t get it;none
barbara_gambatesa1;?????? queee colotaaa;sexual
barbara_gambatesa1;??????????;none
barbara_gambatesa1;????????????;none
barbara_gambatesa1;non ho parole??????;none
barbara_gambatesa1;?;none
barbara_gambatesa1;lindaa??????????????????????????;none
barbara_gambatesa1;@badmatty23;none
barbara_gambatesa1;Queeee….queeeee….. es esooooooo??;none
barbara_gambatesa1;ta fuerte;none
barbara_gambatesa1;que tal ano molto grazie banbina ????;none
barbara_gambatesa1;jajaja así te enseñaron a encontrar pareja?;sexual
barbara_gambatesa1;??????????????;none
barbara_gambatesa1;Egal was ist immer cool bleiben;none
barbara_gambatesa1;??;none
barbara_gambatesa1;Sale el chico rubio guapo que me gusto ??????@J @Laura Rambla;none
barbara_gambatesa1;Mordila;none
barbara_gambatesa1;diosmio;none
barbara_gambatesa1;Dite tanto che è ridicola invece incuriosisce un bel pó di pubblico a quanto pare ????;none
barbara_gambatesa1;????;none
barbara_gambatesa1;????????????????;none
barbara_gambatesa1;??Chulisima ??;none
barbara_gambatesa1;????;none
barbara_gambatesa1;ay mejores ??;none
barbara_gambatesa1;????????;none
barbara_gambatesa1;?? ?????????? ???????????????????????;none
barbara_gambatesa1;???? preciosa princesa ????????;none
barbara_gambatesa1;Eiooooooo;none
barbara_gambatesa1;preciosa ??????;none
barbara_gambatesa1;????;none
barbara_gambatesa1;????;none
barbara_gambatesa1;I don't understand Anything;none
barbara_gambatesa1;Che esibizione??????;none
barbara_gambatesa1;que es un anuncio de gafas de sol ??;none
barbara_gambatesa1;Perché non crescono queste rose nel mio giardino ????;none
barbara_gambatesa1;??????;none
barbara_gambatesa1;Adoro;none
barbara_gambatesa1;granata;none
barbara_gambatesa1;a milano è un 4;denigration
barbara_gambatesa1;on che senso non ho capito;none
barbara_gambatesa1;cioè? perché l'hanno circondata?;none
barbara_gambatesa1;ma che spettacolo deve fare ? cioè ... Ome funziona? sta lì e le persone la guardano? la fotografano? tipo allo zoo? non ho capito scusate;none
barbara_gambatesa1;la cara de asco y de envidia de las mujeres del público jajajajajjaajaja;none
barbara_gambatesa1;quel ragazzo balla lì a Milano e la gente forma un cerchio, guardano lui no lei!! Avrà avuto bisogno di una persona e ha scelto lei...??;none
barbara_gambatesa1;she very beautiful??????;none
barbara_gambatesa1;Heel nice!;none
barbara_gambatesa1;Ci sono degli artisti di strada, lei è andata li e si è fatta riprendere. Ecco a voi l effetto folla. Non è per lei;none
barbara_gambatesa1;BBL iz da;none
barbara_gambatesa1;im Sorry fallo??;none
barbara_gambatesa1;??????;none
barbara_gambatesa1;??????????????????;none
barbara_gambatesa1;sono lì per il ragazzo ma si è messa in mezzo facendo credere il nulla????????;denigration
barbara_gambatesa1;Gyat;sexual
barbara_gambatesa1;Manachmal ist weniger mehr;none
barbara_gambatesa1;spiegazione?;none
barbara_gambatesa1;si è intrufolata durante qualche spettacolo di un artista di strada e fa finta che le persone guardano a lei ????????;denigration
barbara_gambatesa1;??????????;none
barbara_gambatesa1;Non sto capendo, che è successo?;none
barbara_gambatesa1;??;none
barbara_gambatesa1;??;none
barbara_gambatesa1;quindi? Qualcuno può spiegare?;none
barbara_gambatesa1;non ho capito qualcuno spiega;none
barbara_gambatesa1;qualcuno che spiega?;none
barbara_gambatesa1;eh, e quindi?;none
barbara_gambatesa1;una bambola alta circa 1,55 cm;denigration
barbara_gambatesa1;cosa è successo?;none
barbara_gambatesa1;ma chi è?;denigration
barbara_gambatesa1;SPIEGATEMI?;none
barbara_gambatesa1;Ma è @badmatty23;none
barbara_gambatesa1;non ho capito??????;none
barbara_gambatesa1;non ho capito qualcuno spiega ?;none
barbara_gambatesa1;????????????;none
barbara_gambatesa1;Bella?;none
barbara_gambatesa1;quindi???;none
barbara_gambatesa1;La Fresca;none
barbara_gambatesa1;ha un fisico da paura, fa benissimo, e bellissima;none
barbara_gambatesa1;????????????????????????????????;none
barbara_gambatesa1;Molto convinta … tranquilla che c’è l’ha abbiamo tt;denigration
barbara_gambatesa1;ma chi è ? non sono ironico veramente nn so chi sia;none
barbara_gambatesa1;Umanità finita??;denigration
barbara_gambatesa1;????????;none
barbara_gambatesa1;e guardano una e chi è ??????;none
barbara_gambatesa1;??????;none
barbara_gambatesa1;holla te amo??????;none
barbara_gambatesa1;ma;none
barbara_gambatesa1;Ha visto della gente in cerchio e si è messa in mezzo ??;denigration
barbara_gambatesa1;????;none
barbara_gambatesa1;????????ma va si e i vaaaa;none
barbara_gambatesa1;Il circo in città ????????;none
barbara_gambatesa10;peccato che sei alta 1 metro;denigration
barbara_gambatesa10;Photoshop magari no… ma tanta chirurgia estetica;denigration
barbara_gambatesa10;1.20 ahahahahah;denigration
barbara_gambatesa10;Altezza?;denigration
barbara_gambatesa10;Barbarella Chiappatesa ??;sexual
barbara_gambatesa10;Hai i peli su brutto ??;denigration
barbara_gambatesa10;Barbara is 120 cm ??????;denigration
barbara_gambatesa10;Photoshop*;denigration
barbara_gambatesa10;Forse le punturine ??;denigration
barbara_gambatesa10;hai un problema alla spina dorsale? sei tutta storta;denigration
barbara_gambatesa10;mo pubicita 'una tappa;denigration
barbara_gambatesa10;sempre ridicolo è;flaming
barbara_gambatesa10;Attenta ai piedi ?? potresti cascate;denigration
barbara_gambatesa10;Ma tu veramente ??????????????;denigration
barbara_gambatesa10;De follower Barbara Gambatesa evviva Porzio, persona seria!;denigration
barbara_gambatesa10;È photoshop che usa Barbara;denigration
barbara_gambatesa10;È Photoshop è;denigration
barbara_gambatesa10;Videoshop;denigration
barbara_gambatesa10;oddio proprio no;none
barbara_gambatesa10;Finto ??;denigration
barbara_gambatesa10;Amo ma quand t accatt a pizzeria sul lungomare?;denigration
barbara_gambatesa10;l'hai pagato il drinks?;denigration
barbara_gambatesa10;Amo casomai Photoshop;denigration
barbara_gambatesa10;Il drink è una collaborazione con un bar della zona? Chiedo per amici;denigration
barbara_gambatesa10;photoshop anche sulle pizze per non pagarle?;denigration
barbara_gambatesa10;no,usa insta per le pizze;denigration
barbara_gambatesa10;Foto scattata da errico porzio;denigration
barbara_gambatesa10;lovely!?) @Ava;none
barbara_gambatesa10;Per gli invidiosi ora diranno che app utilizzi .. sei bona e basta ????????????;sexual
barbara_gambatesa10;Ti amo veramente , mi devi dare un “chanse”;none
barbara_gambatesa10;quale costume ??????????;none
barbara_gambatesa10;I love you;none
barbara_gambatesa10;Che panettone artigianale complimenti ??;sexual
barbara_gambatesa10;?? dio mio??????;none
barbara_gambatesa10;NON VEDO PIU ED E COLPA TUA;sexual
barbara_gambatesa10;cuánto tiempo? para estar así ??;none
barbara_gambatesa10;ANANAS ?? E IN MOZZ TO PASS??????;sexual
barbara_gambatesa10;Oh godd??;none
barbara_gambatesa10;Andare a vedere @tattoo ideas;none
barbara_gambatesa10;Guardatela dal vivo, è ancora meglio ??;sexual
barbara_gambatesa10;La perfezione fatta a persona, da riempire di baci, è troppo, troppo……;none
barbara_gambatesa10;Popo serio;none
barbara_gambatesa10;??;none
barbara_gambatesa10;Amazing body how tall r u ? ??;none
barbara_gambatesa10;Barbara usa after effect ??;denigration
barbara_gambatesa10;il body più bello mai visto;sexual
barbara_gambatesa10;barbara ha solo la lordosi non photoshop;none
barbara_gambatesa10;Peeeeeii;none
barbara_gambatesa10;es hotwife???;sexual
barbara_gambatesa10;tutta invidia lasciali parlare!;none
barbara_gambatesa10;Ma non penso che la gente non dorma per pensare se usi o meno Photoshop .;denigration
barbara_gambatesa10;l'ho visto dal vivo a Serapo, confermo non usa Photoshop;sexual
barbara_gambatesa10;MMzm miaAA;none
barbara_gambatesa10;Ma che fotoshop,si vede lontano un miglio che è tutto vero!????;sexual
barbara_gambatesa10;E' una scultura naturale fatta con allenamento costante quando la gente e invidiosa la bocca sparla;none
barbara_gambatesa10;ovvio Boldi non si sbaglia mai;none
barbara_gambatesa10;Non lo so rick!;none
barbara_gambatesa10;lasciamola in costume tutto l'anno, grazie;sexual
barbara_gambatesa10;chi è riuscito a vedere il bambino?;sexual
barbara_gambatesa10;??????;none
barbara_gambatesa10;Photoshop è per gli invidiosi;none
barbara_gambatesa10;meravigliosa ??????;none
barbara_gambatesa10;in un metro e qualcosa di donna..;denigration
barbara_gambatesa10;????;none
barbara_gambatesa10;but she takes the juice.... ??;none
barbara_gambatesa10;Así no sirve, mejor es que me digas para ir a tocar si es real…;sexual
barbara_gambatesa10;????????;none
barbara_gambatesa10;espectacular ??;none
barbara_gambatesa10;Perfect ??;none
barbara_gambatesa10;BBL;sexual
barbara_gambatesa10;@g??;none
barbara_gambatesa10;ta bárbara;none
barbara_gambatesa10;@barbaragambatesa chist è meglio che non ti incontrano, altrimenti si devono mettere le pezze ghiacciate in fronte??;none
barbara_gambatesa10;só prótose. fotoshop não.;denigration
barbara_gambatesa10;yes yes ??;none
barbara_gambatesa10;????????;none
barbara_gambatesa10;??;none
barbara_gambatesa10;??;none
barbara_gambatesa10;Sposami ??;none
barbara_gambatesa10;Palestra;none
barbara_gambatesa10;con esas piernas Barbara no necesita nada mas;sexual
barbara_gambatesa10;??;none
barbara_gambatesa10;chest s chiam meravigghia ??;sexual
barbara_gambatesa10;????????;none
barbara_gambatesa10;??????????????????????????????????????????????????????;none
barbara_gambatesa10;no l'ho vista a mare dal vivo altro che fotoshop me stavo a senti male ??;none
barbara_gambatesa10;????;none
barbara_gambatesa10;ciao mi piacerebbe fare la tua amicizia io sono un ragazzo disabile mica ti da fastidio???????????;none
barbara_gambatesa10;????????????????????????????????;none
barbara_gambatesa10;raga vista dal vivo, confermo!!!! non usa photoshop, nn credete alle favole;none
barbara_gambatesa10;il fisico che tutte vorremmo ????;none
barbara_gambatesa10;Hace honor a su nombre;sexual
barbara_gambatesa10;??;none
barbara_gambatesa10;??????;none
barbara_gambatesa10;??;none
barbara_gambatesa10;??????????;none
barbara_gambatesa10;????;none
barbara_gambatesa10;??????;none
barbara_gambatesa10;gataaaa;none
barbara_gambatesa10;help me;none
barbara_gambatesa10;????????;none
barbara_gambatesa10;sei bellissima ????;none
barbara_gambatesa10;?????;none
barbara_gambatesa10;Sereia ??;none
barbara_gambatesa10;La perfezione ??;none
barbara_gambatesa10;Uffa sei sempre magnifica;none
barbara_gambatesa10;Photoshop che usa Barbara.. sei troppo meravigliosa. Senza parole ????;none
barbara_gambatesa10;I gyat something for you;sexual
barbara_gambatesa10;you beautiful goddess????????;none
barbara_gambatesa10;le altre usano la gelosia ??????;none
barbara_gambatesa10;peccato che si scriva photoshop...;none
barbara_gambatesa10;??que hermosa vista amiga saludos feliz inicio de semana ? ?? ?? ??;none
barbara_gambatesa10;l’ho visto dal vivo, nessun photoshop;sexual
barbara_gambatesa10;ci sono Photoshop anche per video....nulla contro te...però volevo si sapesse !!!!;none
barbara_gambatesa10;barbara soffre di lordosi;none
barbara_gambatesa10;Photoshop;denigration
barbara_gambatesa10;alla fine si, hai alzato la saturazione e aumentato il contrasto, forse toccando anche i mezzi toni ??;none
barbara_gambatesa10;perfezione;none
barbara_gambatesa10;????????;none
barbara_gambatesa10;BARBARA E' ALTA 145 CM;denigration
barbara_gambatesa10;che filtro usi per la foto così bella ?;none
barbara_gambatesa10;????????;none
barbara_gambatesa2;Stai cadendo in avanti;denigration
barbara_gambatesa2;Ten pur e pier stuort;denigration
barbara_gambatesa2;ma a voi che dite che é alt nu metr e 40 e ten e pier stuort ma e tnit vui per cas l uocchie stuort ?sono alta 1.76 e avrei voluto da sempre avere la;none
barbara_gambatesa2;ma non ti fa male la schiena;denigration
barbara_gambatesa2;A pcr allert;sexual
barbara_gambatesa2;cifosi lordosi e piedi storti ....e fa anche la figa.....ma per favore non farci ridere. Va al ristorante e nemmeno vuole pagare.....che tristezza ??;flaming
